iter	Passed	Remaining
0	4	449
1	8	431
2	12	415
3	17	421
4	21	415
5	25	403
6	29	392
7	33	384
8	37	375
9	41	370
10	45	364
11	50	366
12	54	361
13	58	356
14	62	356
15	66	351
16	70	344
17	76	348
18	80	342
19	84	336
20	88	334
21	95	338
22	99	333
23	104	332
24	110	332
25	114	327
26	119	323
27	125	322
28	129	317
29	133	310
30	138	309
31	143	304
32	147	299
33	151	293
34	155	288
35	158	282
36	162	277
37	166	272
38	171	267
39	175	263
40	179	257
41	182	252
42	188	249
43	193	246
44	197	241
45	202	237
46	207	233
47	211	229
48	215	224
49	222	222
50	226	217
51	230	212
52	235	208
53	239	204
54	243	199
55	247	194
56	252	190
57	256	185
58	260	180
59	264	176
60	269	172
61	273	167
62	277	162
63	281	158
64	286	154
65	291	150
66	296	145
67	300	141
68	304	137
69	308	132
70	313	127
71	317	123
72	322	119
73	326	114
74	332	110
75	337	106
76	342	102
77	346	97
78	350	93
79	354	88
80	357	83
81	361	79
82	365	74
83	369	70
84	373	65
85	377	61
86	382	57
87	386	52
88	389	48
89	392	43
90	397	39
91	401	34
92	405	30
93	408	26
94	412	21
95	416	17
96	419	12
97	423	8
98	427	4
99	430	0
